movieId,genres
698,drama musical
415,drama horror thriller
41,action adventure drama
318,adventure comedy romance
797,comedy western
684,drama mystery
830,crime drama
312,drama
864,crime drama thriller
420,drama mystery
925,comedy
491,drama
537,drama musical
637,drama
998,horror sci-fi
96,drama
854,drama
151,comedy crime thriller
638,drama
804,adventure comedy crime
828,action adventure drama war
592,crime drama
60,mystery thriller
275,drama thriller
102,action crime drama
495,adventure animation children comedy fantasy romance
680,crime drama thriller
835,adventure western
401,western
293,drama
279,crime drama western
550,drama
443,drama film-noir
893,comedy drama musical
955,drama horror mystery thriller
789,crime drama thriller
831,action crime thriller
409,drama musical
890,animation drama fantasy
356,drama mystery sci-fi thriller
242,adventure animation children comedy fantasy
931,adventure children fantasy
769,comedy crime
957,comedy drama
11,adventure fantasy
158,drama romance
84,drama mystery thriller
771,action drama war
984,drama
577,drama film-noir
774,action adventure drama thriller
632,children comedy drama
442,comedy mystery thriller
787,action adventure drama thriller western
493,action mystery thriller
949,action crime mystery sci-fi thriller
816,crime drama
190,drama mystery thriller
920,drama thriller
364,action adventure comedy
869,action drama war
844,comedy drama romance
14,adventure fantasy
988,crime drama
221,crime drama
46,drama war
683,comedy drama
574,drama film-noir mystery romance
160,adventure animation children comedy
991,drama thriller
216,action adventure comedy fantasy
887,drama
205,drama
850,drama thriller
453,comedy drama
261,drama fantasy musical romance
127,drama
796,comedy drama romance
280,comedy crime drama
298,comedy drama musical romance
124,drama
522,drama thriller
666,crime drama
553,crime drama
503,crime drama mystery
152,action crime thriller
562,crime thriller
992,crime drama mystery romance thriller
715,comedy drama romance
408,drama film-noir thriller
746,drama
723,action adventure western
292,drama
718,action drama romance western
571,comedy drama
754,comedy musical romance
915,drama romance
648,action adventure drama war
371,drama fantasy romance
5,action adventure drama fantasy
733,adventure drama romance thriller war
455,drama
941,drama sci-fi thriller
898,comedy drama
271,drama
685,action drama horror thriller
103,drama romance sci-fi
389,drama mystery thriller
516,adventure drama
963,comedy thriller
377,action drama thriller
763,action crime drama mystery thriller
956,action crime
434,crime drama thriller
928,comedy
325,drama romance
440,drama
414,drama
244,crime drama
568,drama romance war
673,crime thriller
906,drama war
900,drama
482,adventure fantasy imax
305,crime drama film-noir
712,crime drama horror
605,drama romance
268,drama romance
807,action crime thriller
498,comedy horror
958,drama mystery thriller
935,horror mystery thriller
838,drama
362,action adventure animation children comedy
865,drama
749,drama musical romance
202,comedy fantasy romance
905,crime drama
294,drama war
295,adventure drama war
109,comedy
572,comedy drama romance
255,drama
278,drama war
994,comedy crime drama mystery
752,action comedy crime drama
363,action crime film-noir mystery thriller
953,action adventure sci-fi
406,drama romance
141,action crime imax
661,action adventure sci-fi
324,action adventure comedy musical romance thriller
341,drama
452,comedy musical romance
788,drama romance
603,drama romance
765,adventure fantasy thriller imax
672,drama musical romance
588,drama
978,crime drama romance
732,drama
162,action sci-fi thriller imax
75,drama romance thriller
827,crime drama mystery
989,crime drama
631,adventure comedy drama
370,drama
622,adventure drama thriller
165,drama fantasy thriller
465,adventure comedy sci-fi
42,crime drama thriller
986,drama thriller
500,action adventure drama sci-fi thriller
38,drama mystery sci-fi thriller
381,action adventure crime drama thriller war
691,drama war
226,animation children drama
621,action comedy crime mystery
766,crime drama thriller
937,action fantasy war imax
711,drama
855,animation mystery sci-fi
839,drama
706,drama musical romance
948,adventure comedy fantasy romance
388,action crime thriller
934,comedy
616,drama romance war
971,crime drama thriller
237,action adventure drama
965,crime drama mystery
446,animation drama
656,crime drama thriller
143,crime drama
650,drama sci-fi
147,drama western
496,comedy crime drama thriller
2,action crime drama imax
480,action adventure sci-fi
643,action crime drama thriller
670,adventure drama fantasy
951,action animation children comedy imax
78,adventure animation children romance sci-fi
933,action drama mystery sci-fi thriller imax
686,crime drama mystery
382,crime drama romance
822,drama war
257,crime drama
902,drama
521,drama
627,drama fantasy mystery romance
397,action drama war
775,animation fantasy thriller
628,crime drama mystery thriller
93,action drama war
652,drama mystery sci-fi thriller
481,action adventure sci-fi imax
770,comedy crime
767,comedy drama romance
502,mystery sci-fi thriller
585,comedy drama romance
483,adventure animation children comedy crime
954,drama
475,action adventure sci-fi imax
196,drama
80,comedy drama romance
145,drama mystery thriller
566,drama romance
250,adventure animation children fantasy imax
942,action comedy
112,adventure animation children comedy fantasy imax
969,animation children comedy crime
9,action crime drama mystery sci-fi thriller imax
791,drama fantasy romance sci-fi
820,drama
623,drama
833,comedy drama romance
355,drama thriller
781,action adventure fantasy imax
380,drama
793,animation children comedy fantasy musical romance imax
660,drama
802,crime drama romance
110,drama mystery war
808,comedy fantasy romance
224,action adventure drama fantasy mystery imax
604,crime drama film-noir thriller
228,drama
946,drama
191,adventure comedy drama romance
238,drama
990,comedy drama
543,comedy drama romance
61,action adventure crime imax
340,drama
350,comedy horror
556,drama
208,crime
755,comedy romance
639,comedy drama romance
323,crime drama thriller
642,action adventure thriller imax
640,drama
975,crime drama thriller
489,drama romance
809,drama thriller
814,animation comedy
790,comedy drama
506,adventure drama imax
561,drama romance
331,comedy drama
630,adventure fantasy imax
315,comedy drama romance
64,action drama western
753,comedy drama
316,drama
523,drama romance
758,documentary
780,action adventure sci-fi imax
65,comedy
609,drama fantasy romance
212,drama mystery thriller
467,comedy drama
548,drama
886,adventure drama
187,comedy drama
654,adventure drama thriller imax
251,drama
505,drama
995,comedy drama
659,adventure fantasy imax
140,comedy crime drama
359,drama romance sci-fi
731,drama romance
795,action adventure animation children comedy fantasy
214,comedy drama
18,sci-fi imax
655,action adventure sci-fi imax
321,action drama thriller
499,action adventure sci-fi
478,action sci-fi imax
819,drama romance
679,action adventure animation
799,comedy drama
509,drama
44,drama
213,drama thriller
976,sci-fi
348,action adventure sci-fi
947,comedy horror
624,crime drama thriller
662,action animation comedy
782,drama sci-fi thriller
457,crime drama romance
349,drama thriller war
436,animation children fantasy
395,drama
764,action adventure comedy crime
286,comedy drama fantasy mystery romance
139,children drama thriller
232,crime drama
215,action adventure sci-fi thriller
635,action adventure fantasy sci-fi imax
352,action adventure comedy sci-fi
484,action adventure sci-fi
645,action sci-fi thriller
852,drama
873,drama
612,western
596,action crime mystery thriller
468,comedy drama romance
336,
471,comedy drama romance
338,comedy
351,adventure drama sci-fi
328,comedy
591,drama romance
320,
761,crime drama mystery
246,drama
665,drama
189,drama mystery thriller
872,drama war
240,thriller
313,drama mystery thriller
606,drama
597,drama thriller
598,war
361,action adventure animation children comedy
682,adventure comedy
542,drama
647,drama
721,drama
950,crime drama
77,drama
868,adventure animation children fantasy
218,drama war
416,war
476,sci-fi
347,comedy drama romance
633,drama
392,drama
229,children comedy drama
625,drama
125,drama
615,horror
614,drama romance
332,drama thriller
354,animation drama
485,drama mystery romance
198,action adventure war
334,comedy
768,action crime mystery thriller
346,sci-fi
756,comedy drama
979,horror mystery
230,crime drama
343,drama
667,adventure animation children comedy
709,animation crime drama
501,drama
926,animation drama war
206,action romance thriller
651,animation comedy
456,drama
595,comedy drama
432,drama
938,action comedy sci-fi
163,drama
757,action adventure thriller
133,drama war
968,drama
479,drama
203,action drama
156,comedy drama
194,mystery romance thriller
62,action adventure animation sci-fi
138,action drama thriller
59,action romance
176,horror thriller
594,comedy drama romance
197,action
204,action drama
582,drama
806,adventure animation children comedy
930,comedy drama
222,action drama
488,comedy war
330,crime drama
492,comedy drama
617,crime drama
477,comedy crime drama mystery thriller
136,comedy romance
593,drama
87,action thriller
180,adventure animation children comedy
